City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
203,narsaq,32,GL,1635650869,74,60.9167,-46.05,26.82,4.9
204,mulanje,0,MW,1635650869,66,-16.0316,35.5,69.24,3.76
205,touros,95,BR,1635650869,76,-5.1989,-35.4608,79.9,13.82
206,kropotkin,0,RU,1635650870,83,45.4375,40.5756,44.2,15.5
207,ponta delgada,100,PT,1635650870,94,37.7333,-25.6667,74.5,16.64
208,old shinyanga,39,TZ,1635650871,65,-3.55,33.4,71.92,5.32
209,werneck,100,DE,1635650871,87,49.9833,10.1,52.84,4.72
210,ilhabela,98,BR,1635650679,93,-23.7781,-45.3581,69.6,10.36
211,leningradskiy,100,RU,1635650284,97,69.3833,178.4167,-0.22,6.58
212,chokwe,100,MZ,1635650872,89,-24.5333,32.9833,67.57,8.43
213,yar-sale,11,RU,1635650872,90,66.8333,70.8333,4.44,14.47
214,abu samrah,41,SY,1635650873,66,35.3029,37.1841,60.85,5.01
215,cabo san lucas,23,MX,1635650873,80,22.8909,-109.9124,77.95,11.18
216,goalpara,0,IN,1635650873,64,26.1667,90.6167,72.84,5.86
217,lodja,100,CD,1635650874,98,-3.4833,23.4333,68.14,1.32
218,camana,80,PE,1635650874,84,-16.6228,-72.7111,65.3,3.96
219,ullapool,73,GB,1635650875,86,57.8987,-5.1604,36.95,4.7
220,sibolga,100,ID,1635650875,94,1.7427,98.7792,76.23,3.11
221,heihe,0,CN,1635650875,28,50.2441,127.4902,32.58,5.37
222,tombouctou,84,ML,1635650876,25,20.0,-3.0,80.33,11.63
223,gobabis,0,NA,1635650876,22,-22.45,18.9667,67.48,4.99
224,bethel,90,US,1635650401,94,41.3712,-73.414,57.49,3.44
225,severo-kurilsk,69,RU,1635650638,82,50.6789,156.125,42.62,17.83
226,mehamn,98,NO,1635650288,79,71.0357,27.8492,36.68,14.14
227,coolum beach,67,AU,1635650877,77,-26.5333,153.1,72.1,4.0
228,umtata,0,ZA,1635650877,94,-31.5889,28.7844,52.9,3.78
229,bulawayo,8,ZW,1635650878,53,-20.15,28.5833,67.86,3.29
230,upernavik,100,GL,1635650281,71,72.7868,-56.1549,30.24,5.48
231,jacqueville,47,CI,1635650878,86,5.2052,-4.4146,78.26,8.1
232,nuuk,75,GL,1635650289,87,64.1835,-51.7216,36.21,33.38
233,kyzyl-suu,100,KG,1635650879,46,42.3414,78.0056,37.71,3.67
234,vila velha,90,BR,1635650879,100,-20.3297,-40.2925,71.55,3.44
235,parkes,0,AU,1635650880,14,-33.1333,148.1833,74.62,6.58
236,taoudenni,71,ML,1635650880,26,22.6783,-3.9836,79.79,9.62
237,sena madureira,20,BR,1635650880,66,-9.0656,-68.6569,77.02,2.75
238,san antonio,1,US,1635650787,63,29.4241,-98.4936,67.96,0.0
239,jizan,4,SA,1635650881,63,17.3333,42.6667,82.56,1.9
240,umea,90,SE,1635650881,100,63.8284,20.2597,41.92,3.44
241,tessalit,26,ML,1635650882,15,20.1986,1.0114,79.63,6.31
